1542,770,0,0,0
1542,770,0,0,0
1542,770,0,0,0
1542,770,0,0,0
1542,770,0,0,0
1550,753,0,0,0
1550,753,0,0,0
1550,753,0,0,0
1550,753,0,0,0
1555,737,0,0,0
1555,737,0,0,0
1555,737,0,0,0
1555,737,0,0,0
1555,737,0,0,0
1560,720,0,0,0
1560,720,0,0,0
1560,720,0,0,0
1560,720,0,0,0
1560,720,0,0,0
1562,704,0,0,0
1562,704,0,0,0
1562,704,0,0,0
1562,704,0,0,0
1562,704,0,0,0
1563,690,0,0,0
1563,690,0,0,0
1563,690,0,0,0
1563,690,0,0,0
1563,690,0,0,0
1563,676,0,0,0
1563,676,0,0,0
1563,676,0,0,0
1563,676,0,0,0
1559,662,0,0,0
1559,662,0,0,0
1559,662,0,0,0
1559,662,0,0,0
1559,662,0,0,0
1553,647,0,0,0
1553,647,0,0,0
1553,647,0,0,0
1553,647,0,0,0
1553,647,0,0,0
1545,634,0,0,0
1545,634,0,0,0
1545,634,0,0,0
1545,634,0,0,0
1535,623,0,0,0
1535,623,0,0,0
1535,623,0,0,0
1535,623,0,0,0
1535,623,0,0,0
1522,612,0,0,0
1522,612,0,0,0
1522,612,0,0,0
1522,612,0,0,0
1509,602,0,0,0
1509,602,0,0,0
1509,602,0,0,0
1509,602,0,0,0
1493,593,0,0,0
1493,593,0,0,0
1493,593,0,0,0
1493,593,0,0,0
1493,593,0,0,0
1476,587,0,0,0
1476,587,0,0,0
1476,587,0,0,0
1476,587,0,0,0
1476,587,0,0,0
1458,582,0,0,0
1458,582,0,0,0
1458,582,0,0,0
1458,582,0,0,0
1440,579,0,0,0
1440,579,0,0,0
1440,579,0,0,0
1440,579,0,0,0
1422,577,0,0,0
1422,577,0,0,0
1422,577,0,0,0
1422,577,0,0,0
1402,577,0,0,0
1402,577,0,0,0
1402,577,0,0,0
1402,577,0,0,0
1402,577,0,0,0
1382,577,0,0,0
1382,577,0,0,0
1382,577,0,0,0
1382,577,0,0,0
1364,578,0,0,0
1364,578,0,0,0
1364,578,0,0,0
1364,578,0,0,0
1364,578,0,0,0
1348,581,0,0,0
1348,581,0,0,0
1348,581,0,0,0
1348,581,0,0,0
1331,586,0,0,0
1331,586,0,0,0
1331,586,0,0,0
1331,586,0,0,0
1331,586,0,0,0
1314,594,0,0,0
1314,594,0,0,0
1314,594,0,0,0
1314,594,0,0,0
1298,604,0,0,0
1298,604,0,0,0
1298,604,0,0,0
1298,604,0,0,0
1298,604,0,0,0
1283,616,0,0,0
1283,616,0,0,0
1283,616,0,0,0
1270,629,0,0,0
